date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-01-29,quickplay,Americas,samoa,All,벤처,DAMAGE,4.8,52.8
2026-01-29,quickplay,Americas,samoa,All,브리기테,SUPPORT,8.6,53.4
2026-01-29,quickplay,Americas,samoa,All,소전,DAMAGE,11.4,45.8
2026-01-29,quickplay,Americas,samoa,All,솔저: 76,DAMAGE,16.4,49.5
2026-01-29,quickplay,Americas,samoa,All,솜브라,DAMAGE,8.4,47.6
2026-01-29,quickplay,Americas,samoa,All,시그마,TANK,8.6,52.5
2026-01-29,quickplay,Americas,samoa,All,시메트라,DAMAGE,4.3,57.0
2026-01-29,quickplay,Americas,samoa,All,아나,SUPPORT,27.4,46.8
2026-01-29,quickplay,Americas,samoa,All,애쉬,DAMAGE,14.3,49.1
2026-01-29,quickplay,Americas,samoa,All,에코,DAMAGE,7.1,49.3
2026-01-29,quickplay,Americas,samoa,All,오리사,TANK,10.9,46.1
2026-01-29,quickplay,Americas,samoa,All,우양,SUPPORT,10.7,50.8
2026-01-29,quickplay,Americas,samoa,All,위도우메이커,DAMAGE,4.9,42.4
2026-01-29,quickplay,Americas,samoa,All,윈스턴,TANK,3.4,49.2
2026-01-29,quickplay,Americas,samoa,All,일리아리,SUPPORT,9.8,54.8
2026-01-29,quickplay,Americas,samoa,All,자리야,TANK,6.1,49.8
2026-01-29,quickplay,Americas,samoa,All,정커퀸,TANK,7.4,55.4
2026-01-29,quickplay,Americas,samoa,All,정크랫,DAMAGE,13.0,50.9
2026-01-29,quickplay,Americas,samoa,All,젠야타,SUPPORT,13.6,55.0
2026-01-29,quickplay,Americas,samoa,All,주노,SUPPORT,21.4,50.5
2026-01-29,quickplay,Americas,samoa,All,캐서디,DAMAGE,19.2,48.4
2026-01-29,quickplay,Americas,samoa,All,키리코,SUPPORT,21.3,46.4
2026-01-29,quickplay,Americas,samoa,All,토르비욘,DAMAGE,5.4,56.3
2026-01-29,quickplay,Americas,samoa,All,트레이서,DAMAGE,5.2,47.2
2026-01-29,quickplay,Americas,samoa,All,파라,DAMAGE,5.0,50.7
2026-01-29,quickplay,Americas,samoa,All,프레야,DAMAGE,6.7,44.5
2026-01-29,quickplay,Americas,samoa,All,한조,DAMAGE,9.4,47.7
2026-01-29,quickplay,Americas,samoa,All,해저드,TANK,3.4,48.7
2026-01-29,quickplay,Americas,oasis,All,D.Va,TANK,10.5,48.2
2026-01-29,quickplay,Americas,oasis,All,겐지,DAMAGE,11.9,49.9
2026-01-29,quickplay,Americas,oasis,All,둠피스트,TANK,10.6,48.6
2026-01-29,quickplay,Americas,oasis,All,라마트라,TANK,9.0,50.9
2026-01-29,quickplay,Americas,oasis,All,라이프위버,SUPPORT,12.7,47.1
2026-01-29,quickplay,Americas,oasis,All,라인하르트,TANK,13.5,52.9
2026-01-29,quickplay,Americas,oasis,All,레킹볼,TANK,3.7,45.9
2026-01-29,quickplay,Americas,oasis,All,로드호그,TANK,7.4,47.2
2026-01-29,quickplay,Americas,oasis,All,루시우,SUPPORT,10.9,51.4
2026-01-29,quickplay,Americas,oasis,All,리퍼,DAMAGE,11.8,52.7
2026-01-29,quickplay,Americas,oasis,All,마우가,TANK,5.6,50.3
2026-01-29,quickplay,Americas,oasis,All,메르시,SUPPORT,29.8,50.6
